"class","capShape","capSurface","bruises","gillAttachment","gillSpacing","gillSize","stalkShape","stalkSurfaceAboveRing","stalkSurfaceBelowRing","veilColor","ringNumber","ringType"
"p","k","s","f","f","c","n","t","s","k","w","o","e"
"p","x","s","f","f","c","n","t","k","s","w","o","e"
"p","f","y","f","f","c","n","t","s","s","w","o","e"
"e","f","f","t","f","c","b","t","s","s","w","o","p"
"e","b","y","t","f","c","b","e","s","s","w","o","p"
"p","x","y","f","f","c","n","t","k","k","w","o","e"
"e","x","f","t","f","c","b","t","s","s","w","o","p"
"e","k","s","t","f","c","b","e","s","s","w","t","e"
"p","f","y","f","f","c","b","e","k","k","w","o","l"
"p","f","s","t","f","c","n","e","s","s","w","o","p"
"p","x","y","f","f","c","n","t","s","s","w","o","e"
"p","f","s","f","f","c","n","t","s","k","w","o","e"
"p","x","s","t","f","c","b","t","s","s","w","o","p"
"p","f","y","f","f","c","n","t","k","k","w","o","e"
"p","x","s","f","f","c","n","t","s","k","w","o","e"
"e","f","s","f","f","w","b","t","f","s","w","o","e"
"p","f","s","t","f","c","n","e","s","s","w","o","p"
"e","s","f","f","f","c","n","e","s","s","w","o","p"
"e","x","s","f","a","c","b","e","s","s","n","o","p"
"p","f","s","t","f","c","b","t","f","s","w","o","p"
"e","f","f","f","f","w","b","t","f","f","w","o","e"
"e","x","f","t","f","c","b","t","s","s","w","o","p"
"p","f","y","f","f","c","b","e","k","k","w","o","l"
"p","x","s","t","f","c","b","t","f","f","w","o","p"
"p","x","s","f","f","c","n","t","k","s","w","o","e"
"e","f","f","t","f","c","b","t","s","s","w","o","p"
"e","k","s","f","a","c","b","e","s","s","o","o","p"
"p","k","s","f","f","c","n","t","s","k","w","o","e"
"p","x","y","f","f","c","n","t","k","s","w","o","e"
"e","b","s","f","a","c","b","e","s","s","n","o","p"
"e","x","y","t","f","c","b","t","s","s","w","o","p"
"p","f","y","f","f","c","b","e","k","k","w","o","l"
"e","x","s","f","f","w","b","t","f","s","w","o","e"
